Date_wise,Flight_No,Airlines_Name,Arrival/Departure,Departure_City_Code,Departure_City,Departure_Airport,Departure_Date,Departure_time_scheduled,Departure_time_Actual,Departure_terminal,Arrival_City_Code,Arrival_City,Arrival_Airport,Arrival_Date,Arrival_time_scheduled,Arrivial_time_Actual,Arrival_terminal,Flight_Status,Flight_Time_status,Flight_delay_by_time,Flight_time,Flight_distance,Aircraft_equipment_code,Aircraft_equipment_description
24-06-2022,G8 113,Go First,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,05:50 IST,05:39 IST,2,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:30 IST,08:21 IST,,Arrived,On time,,2h 42m,1062 mi,,
24-06-2022,W2 8897,FlexFlight,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,05:50 IST,05:39 IST,2,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:30 IST,08:21 IST,,Arrived,On time,,2h 42m,1062 mi,32A,Airbus A320 (sharklets)
24-06-2022,I5 1452,AirAsia India,Arrival,COK,Kochi,Cochin International Airport,24-06-2022,07:25 IST,07:18 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:30 IST,08:11 IST,,Arrived,On time,,53m,229 mi,32A,Airbus A320 (sharklets)
24-06-2022,6E 6612,IndiGo,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,06:00 IST,05:52 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:35 IST,08:28 IST,1,Arrived,On time,,2h 36m,1062 mi,,
24-06-2022,KL 3646,KLM,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,06:00 IST,05:52 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:35 IST,08:28 IST,1,Arrived,On time,,2h 36m,1062 mi,32N,Airbus A320neo
24-06-2022,6E 797,IndiGo,Arrival,MAA,Chennai,Chennai Airport,24-06-2022,07:45 IST,07:40 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:40 IST,08:27 IST,1,Arrived,On time,,47m,166 mi,32N,Airbus A320neo
24-06-2022,6E 6463,IndiGo,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,24-06-2022,07:00 IST,,2,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:45 IST,,,Cancelled,blank,,,,320,Airbus A320
24-06-2022,UK 898,Vistara,Arrival,HYD,Hyderabad,Rajiv Gandhi International Airport,24-06-2022,07:30 IST,07:19 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:45 IST,08:19 IST,,Arrived,On time,,1h,283 mi,32N,Airbus A320neo
24-06-2022,6E 6501,IndiGo,Arrival,TRV,Thiruvananthapuram,Trivandrum International Airport,24-06-2022,07:40 IST,07:40 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:45 IST,09:10 IST,1,Arrived,Delayed,25m,1h 30m,331 mi,32N,Airbus A320neo
24-06-2022,UK 851,Vistara,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,24-06-2022,07:00 IST,06:58 IST,2,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:50 IST,08:52 IST,,Arrived,On time,,1h 54m,518 mi,32N,Airbus A320neo
24-06-2022,EK 564,Emirates,Arrival,DXB,Dubai,Dubai Airport,24-06-2022,03:20 +04,03:23 +04,3,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:55 IST,09:02 IST,1,Arrived,On time,,4h 9m,1675 mi,77W,Boeing 777-300ER
24-06-2022,SG 191,SpiceJet,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,06:05 IST,05:55 IST,1D,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:55 IST,08:55 IST,,Arrived,On time,,3h,1062 mi,738,Boeing 737-800 Passenger
24-06-2022,AI 803,Air India,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,06:10 IST,06:20 IST,3,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:55 IST,08:48 IST,,Arrived,On time,,2h 28m,1062 mi,32N,Airbus A320neo
24-06-2022,UK 811,Vistara,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,06:15 IST,06:03 IST,3,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:00 IST,08:59 IST,,Arrived,On time,,2h 56m,1062 mi,,
24-06-2022,AC 2930,Air Canada,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,06:15 IST,06:03 IST,3,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:00 IST,08:59 IST,,Arrived,On time,,2h 56m,1062 mi,32N,Airbus A320neo
24-06-2022,SG 3028,SpiceJet,Arrival,MAA,Chennai,Chennai Airport,24-06-2022,07:50 IST,07:23 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:00 IST,08:26 IST,1,Arrived,On time,,1h 3m,166 mi,DH8,De Havilland (Bombardier) DHC-8 Dash 8
24-06-2022,6E 287,IndiGo,Arrival,VTZ,Vishakhapatnam,Vishakhapatnam Airport,24-06-2022,07:40 IST,07:34 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:10 IST,09:19 IST,1,Arrived,On time,,1h 45m,482 mi,32A,Airbus A320 (sharklets)
24-06-2022,6E 496,IndiGo,Arrival,CCU,Kolkata,Netaji Subhas Chandra Bose Airport,24-06-2022,06:45 IST,06:28 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:15 IST,09:06 IST,1,Arrived,On time,,2h 38m,960 mi,32N,Airbus A320neo
24-06-2022,G8 543,Go First,Arrival,COK,Kochi,Cochin International Airport,24-06-2022,08:15 IST,08:20 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:15 IST,09:27 IST,,Arrived,On time,,1h 7m,229 mi,,
24-06-2022,W2 9281,FlexFlight,Arrival,COK,Kochi,Cochin International Airport,24-06-2022,08:15 IST,08:20 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:15 IST,09:27 IST,,Arrived,On time,,1h 7m,229 mi,32N,Airbus A320neo
24-06-2022,6E 475,IndiGo,Arrival,CJB,Coimbatore,Coimbatore International Airport,24-06-2022,08:20 IST,08:09 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,09:15 IST,09:15 IST,1,Arrived,On time,,1h 6m,157 mi,32A,Airbus A320 (sharklets)
